claim_id,claim,class,status,source,allowed_wording,forbidden_overreach
C001,RCT included 276 delivery workers in Delhi/Gurugram in May-June 2025,RESEARCH,verified,Ideas for India / SSRN,A randomized study enrolled 276 gig delivery workers in Delhi and Gurugram.,HeatReserve tested 276 workers.
C002,Treatment used ₹200 per forecasted heatwave episode,RESEARCH,verified,Ideas for India / SSRN,The cited study used a ₹200 forecast-triggered transfer.,₹200 is the correct production payout.
C003,Treatment workers shifted away from hottest afternoon hours and used cooled rest locations more,RESEARCH,verified,Ideas for India,The study reports greater schedule shifting and cooled breaks among treated workers.,HeatReserve causes this effect.
C004,Warning-only workers reduced work and reported heat symptoms during heatwave weeks,RESEARCH,verified,Ideas for India,The cited study reports reduced labor supply/productivity and more reported symptoms in the warning-only group.,Every rider will lose this exact amount.
C005,Willingness to prepay for hypothetical heat insurance was low,RESEARCH,verified,Ideas for India,The study reports low willingness to prepay for the hypothetical insurance options it tested.,Gig workers never want insurance.
C006,Existing Indian heat finance has reached tens of thousands of informal women workers,RESEARCH,verified,Swiss Re / CGAP,Existing programs demonstrate that heat-triggered financial support at substantial scale is feasible.,HeatReserve is the first heat-triggered payment program.
C007,NIOSH recommends WBGT when feasible and warns weather indices alone are insufficient,RESEARCH,verified,NIOSH,HeatReserve uses simplified weather measures for relative planning and does not declare safety.,This temperature means it is safe to work.
C008,HeatReserve creates at most one commitment per worker/episode/policy version,MEASURED,verified,tests/test_storage.py + evaluation report,Tests demonstrate idempotent commitments and reserve reconciliation under concurrent retries.,Guaranteed until tests exist.
C009,HeatReserve detects receipt tampering,MEASURED,verified,tests/test_receipts.py + evaluation report,Receipt verification rejects mutation of digest-protected canonical fields and binds the full plan payload hash.,Tamper-proof.
C010,HeatReserve reduces modeled high-heat minutes under replay scenarios,SIMULATED,verified-replay,docs/evaluation/evaluation_report.json,"In the frozen replay, the recommendation shifts 360 modeled high-heat minutes and changes relative burden from 4.9595 to 1.3288.",HeatReserve reduces illness by X%.
C011,HeatReserve can scale to 100k enrolled workers,TARGET,model-only,docs/architecture/SCALABILITY_CAPACITY_MODEL.md,Architecture capacity scenario models 100k enrolled workers under stated assumptions.,Proven at 100k users.
C012,HeatReserve aligns with SDG 8.8 and 13.1,RESEARCH,verified,United Nations SDG pages,The system is designed to contribute to worker-safety and climate-adaptation objectives under SDG 8.8 and 13.1.,HeatReserve moves official SDG indicator by X.
